word,translation
aia,threshing floor; wren (bird)
arida,"arid, dry (feminine)"
aura,"breeze; aura, halo"
basso,"low, deep; bass (adjective/adverb)"
bel,beautiful (short for bello)
belle,beautiful (feminine plural)
ben,"well, truly (short for bene)"
bolle,bubbles; seals (plural of bolla); it boils (3rd person of bollire)
brame,"longings, cravings (plural of brama)"
bui,"dark, gloomy (plural); shadows"
cagione,"cause, reason (archaic)"
calle,"narrow lane, path (archaic/Venetian)"
casso,"annulled, void, struck out (archaic, from cassare)"
cen,us from there (ce ne contracted)
cera,"wax; look, appearance (archaic: far buona cera = to look well)"
certo,"certain, sure; certainly"
colle,hill; with the (col + le contracted)
colsi,"I gathered, picked (past of cogliere)"
colto,"gathered; cultured, educated"
conte,count (title of nobility)
corte,court (royal or legal)
croia,"tough, rough; dull-witted (archaic adjective)"
cui,"whom, which, whose (relative pronoun)"
cura,"care, cure; worry"
deggio,"I ought, I must (archaic for debbo/devo)"
degna,"worthy, dignified (feminine)"
del,of the (di + il contracted)
denti,teeth
desse,he/she gave (archaic imperfect subjunctive of dare)
desti,you gave (2nd person past of dare); you woke (of destare)
dietro,"behind, back, after"
dita,fingers
doglia,"pain, grief, anguish"
dolsi,"I grieved, ached (past of dolere)"
dura,"hard (feminine); lasts, endures (3rd person of durare)"
face,"torch; does, makes (archaic 3rd person of fare)"
fame,"hunger; fame, renown"
feltro,felt (the fabric)
fera,"wild beast (archaic/poetic noun, from Latin fera); fierce (adjective)"
fesse,"split, cracked (archaic past subjunctive of fendere)"
fia,will be; may be (archaic future/subjunctive of essere)
fide,"faithful, trusting (plural adjective)"
fioco,"faint, dim, weak (of voice or light)"
foco,fire (poetic/archaic variant of fuoco)
folle,"mad, foolish (adjective)"
folto,"dense, thick (of foliage or crowds)"
fonte,"source, spring, fountain"
forte,strong; strongly; fortress
fronte,"forehead; front, face"
fui,I was (past of essere)
genti,"peoples, folk, races"
gia,already (archaic/poetic form of già)
gioco,"game, play"
gita,"excursion, trip, outing"
giva,was going (archaic imperfect of gire = andare)
giù,"down, below"
grame,"wretched, miserable (feminine plural of gramo)"
grida,"shouts, cries; shouts (3rd person of gridare)"
lasso,weary; alas (archaic adjective and exclamation)
legge,law; reads (3rd person of leggere)
lenti,slow (plural); lentils
lieta,"happy, joyful (feminine)"
loco,place (archaic/poetic for luogo)
lui,"him, he"
maggio,May (the month)
men,less (short for meno)
menti,minds; you lie (2nd person of mentire)
merto,"merit, desert (archaic for merito)"
mesti,"sad, sorrowful (masculine plural)"
mia,my (feminine)
molle,"soft, weak (adjective plural); springs (plural of molla)"
molto,"much, very, many"
monte,"mountain, mount"
morte,death
mura,walls (of a city)
nel,in the (in + il contracted)
nera,black (feminine adjective)
pace,peace
passo,"step, pace; I pass (noun or 1st person present of passare)"
peggio,worse; the worse
pel,"for the (per + il contracted); also skin, hide, fur (short for pelle)"
pelle,"skin, hide, leather"
peltro,pewter
pia,"pious, devout (feminine)"
pieta,"pity, compassion; Pietà"
pietro,"Peter (name); stone (archaic, from Latin Petrus)"
più,more; most; no longer
poco,"little, few; a little"
polsi,wrists; pulses (plural of polso)
ponte,bridge
porte,"doors, gates (plural of porta)"
pronte,"ready, prompt (feminine plural)"
pura,"pure, clean (feminine)"
qui,here
raggio,ray (of light); spoke (of a wheel)
ragione,reason; right; account
rame,copper; wire (archaic)
regge,"rules, governs; holds up (3rd person of reggere)"
regna,"reigns, rules (3rd person of regnare)"
ren,"kidneys, loins (archaic singular of reni)"
ria,"wicked, evil (archaic feminine); rivulet, stream"
rietro,"back, behind (archaic variant of dietro)"
riva,"shore, bank (of river or sea)"
rui,"streams, rivulets (archaic plural of rivo)"
saggio,wise; sage; essay (noun/adjective)
sardi,Sardinians (plural)
sasso,"stone, rock"
seggio,"seat, throne"
sen,"away, off (se ne contracted, as in sen va = goes away)"
senti,you hear/feel; listen! (imperative of sentire)
sera,evening
sia,may be; let it be; either…or (archaic)
soglia,"threshold, doorstep"
sorte,"fate, lot, destiny"
sui,"on the, on one's (su + i)"
tace,"is silent, keeps quiet (3rd person of tacere)"
tardi,late; tardily
tegna,may hold (archaic subjunctive of tenere)
ten,"thee away (te ne contracted, as in ten porta = carries you away)"
tolle,"took away, removed (archaic 3rd person past of togliere)"
tolsi,"I took away, removed (past of togliere)"
tolto,"taken away, removed (past participle of togliere)"
troia,Troy (the city)
tui,"of thee, thine (archaic genitive of tu)"
tura,"plugs, blocks (3rd person of turare)"
valle,valley
veggio,I see (archaic for vedo)
vegna,may come (archaic subjunctive of venire)
veltro,greyhound (the prophesied saviour in Canto I)
ven,"comes (short for viene), or vein (short for vena)"
venti,winds (plural of vento); twenty
vera,"true, real (feminine adjective)"
via,"way, road; away; via"
vide,saw (archaic/Latin 3rd person past of vedere)
vieta,"forbids; outmoded, stale (3rd person of vietare)"
vita,life
viva,long live!; alive (feminine)
voglia,"desire, wish; will"
volle,"wanted, willed (3rd person past absolute of volere)"
volsi,I turned (past of volgere)
volto,"face, countenance; turned (past participle of volgere)"
zita,young woman (archaic/dialectal)
